label,precision,recall,f1-score,support
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1059.001_e5f9de8f-3df1-4e78-ad92-a784e3f6770d_I,0.0,0.0,0.0,164.0
T1105_1095434782a00c8a4772a11e625bcf5d_I,0.0,0.0,0.0,3.0
T1003.002_5a484b65c247675e3b7ada4ba648d376_B,0.0,0.0,0.0,1.0
T1490_e90756bb6dcd21462dc4cc452661df91_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1003.002_5a484b65c247675e3b7ada4ba648d376_I,0.0,0.0,0.0,5.0
T1047_6935e41353aa781bb723462d26114c44_B,0.0,0.0,0.0,1.0
O,1.0,0.00019830685196651712,0.00039653506831194296,1936393.0
T1105_1095434782a00c8a4772a11e625bcf5d_B,0.0,0.0,0.0,1.0
T1059.001_e5f9de8f-3df1-4e78-ad92-a784e3f6770d_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
T1003.003_9f73269695e54311dd61dc68940fb3e1_B,0.0,0.0,0.0,1.0
micro avg,0.3847695390781563,0.00019828760067355818,0.0003963709350689701,1936581.0
macro avg,0.07692307692307693,1.5254373228193624e-05,3.0502697562457152e-05,1936581.0
weighted avg,0.9999029216955035,0.00019828760067355818,0.0003964965733598379,1936581.0
