label,precision,recall,f1-score,support
T1491_68235976-2404-42a8-9105-68230cfef562_B,0.0,0.0,0.0,1.0
T1016_921055f4-5970-4707-909e-62f594234d91_B,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1112_e7a987cbef27263e666e5b096488dc55_I,0.0,0.0,0.0,2.0
T1217_f7a0f7d704aa52a764d9d1bee81e65d6_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1112_e7a987cbef27263e666e5b096488dc55_B,0.0,0.0,0.0,1.0
T1059.001_bfff9006-d1fb-46ce-b173-92cb04e9a031_B,0.0,0.0,0.0,1.0
T1036.003_04e8d83e7badf098d50800d6aa1dd487_I,0.0,0.0,0.0,22.0
T1016_921055f4-5970-4707-909e-62f594234d91_I,0.0,0.0,0.0,1.0
O,0.9993045897079277,0.0004275519600594467,0.0008547382208061841,3360995.0
T1059.001_bfff9006-d1fb-46ce-b173-92cb04e9a031_I,0.0,0.0,0.0,6.0
T1491_68235976-2404-42a8-9105-68230cfef562_I,0.0,0.0,0.0,9.0
T1036.003_04e8d83e7badf098d50800d6aa1dd487_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
T1003.003_9f73269695e54311dd61dc68940fb3e1_B,0.0,0.0,0.0,1.0
micro avg,0.0006084646451131016,0.00042754470921604307,0.0005022075113049112,3361052.0
macro avg,0.06245653685674548,2.6721997503715418e-05,5.3421138800386504e-05,3361052.0
weighted avg,0.9992876425254343,0.00042754470921604307,0.0008547237253212626,3361052.0
