label,precision,recall,f1-score,support
T1078.001_d0ca00832890baa1d42322cf70fcab1a_B,0.0,0.0,0.0,1.0
T1491_47d08617-5ce1-424a-8cc5-c9c978ce6bf9_I,0.0,0.0,0.0,5.0
T1040_6881a4589710d53f0c146e91db513f01_B,0.0,0.0,0.0,1.0
T1047_f4b0b4129560ea66f9751275e82f6bab_B,0.0,0.0,0.0,1.0
T1112_257313a3c93e3bb7dfb60d6753b09e34_I,0.0,0.0,0.0,2.0
T1047_f4b0b4129560ea66f9751275e82f6bab_I,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1040_6881a4589710d53f0c146e91db513f01_I,0.0,0.0,0.0,5.0
T1016_a0676fe1-cd52-482e-8dde-349b73f9aa69_B,0.0,0.0,0.0,1.0
T1112_257313a3c93e3bb7dfb60d6753b09e34_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
O,1.0,0.0002304369602072992,0.0004607677424966559,425279.0
T1562.002_6a8d25d65a7d481dc479f89c62af1e6a_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
T1491_47d08617-5ce1-424a-8cc5-c9c978ce6bf9_B,0.0,0.0,0.0,1.0
micro avg,0.5384615384615384,0.00023042070588677878,0.0004606442909485747,425309.0
macro avg,0.06666666666666667,1.5362464013819948e-05,3.071784949977706e-05,425309.0
weighted avg,0.9999294630492184,0.00023042070588677878,0.00046073524134508165,425309.0
