,precision,recall,f1-score,support
T1059.003_f38e58deb7ad20b5538ca40db7b7b4f8,1.0,1.0,1.0,4800.0
T1069.001_5c4dd985-89e3-4590-9b57-71fed66ff4e2,1.0,0.9959722222222223,0.9979820471783453,7200.0
T1069.001_a1f48fa3ddee658b29b414523c9a295b,0.2222222222222222,0.00375,0.007375537799631223,1600.0
T1069.002_6103e503cb444bc7b4187704f2035708,0.35714285714285715,0.034375,0.06271379703534778,3200.0
T1070.005_1f91076e2be2014cc7b4f1296de02fd6,1.0,1.0,1.0,4800.0
T1071.001_24c3b7b004401d839a5c337201da3484,1.0,0.99975,0.9998749843730466,16000.0
T1074.001_4e97e699-93d7-4040-b5a3-2e906a58199e,1.0,0.998125,0.9990616202690022,8000.0
T1074.001_6469befa-748a-4b9c-a96d-f191fde47d89,1.0,1.0,1.0,2400.0
T1074.001_e6dfc7e89359ac6fa6de84b0e1d5762e,1.0,1.0,1.0,6400.0
T1078.001_d0ca00832890baa1d42322cf70fcab1a,0.9439346743125785,0.96,0.9518995578640359,256000.0
T1082_29451844-9b76-4e16-a9ee-d6feab4b24db,0.9142891379484663,0.95375,0.9336027790895307,256000.0
T1083_52177cc1-b9ab-4411-ac21-2eadc4b5d3b8,1.0,1.0,1.0,9600.0
T1083_6e1a53c0-7352-4899-be35-fa7f364d5722,0.9499037654632827,0.88875,0.9183098932634268,256000.0
T1087.001_6334877e8e3ba48f7835d4856d90a282,1.0,0.99775,0.9988737329495684,4000.0
T1087.001_feaced8f-f43f-452a-9500-a5219488abb8,0.9210191131236859,0.94625,0.9334640943483112,256000.0
T1090.001_ba343199a4f15ed6b57eb52412f62e4e,0.7703848662752772,0.738125,0.7539099904245132,1600.0
T1105_0856c235a1d26113d4f2d92e39c9a9f8,1.0,1.0,1.0,8800.0
T1105_1095434782a00c8a4772a11e625bcf5d,0.9993706733794839,0.9925,0.9959234869865162,1600.0
T1105_4f683658f161ccdc51337c470d32bab9,1.0,1.0,1.0,6400.0
T1105_60f63260-39bb-4136-87a0-b6c2dca799fc,1.0,1.0,1.0,16800.0
T1105_c521e0a70b243a0cf9217907ca3c6d27,1.0,0.9999375,0.9999687490234069,16000.0
T1105_c76968acda4aa1673dadcd67f3ab7664,1.0,0.994423076923077,0.9972037412014271,10400.0
T1105_e6715e61f5df646692c624b3499384c4,1.0,1.0,1.0,45600.0
T1105_eb814e03-811a-467a-bc6d-dcd453750fa2,1.0,1.0,1.0,120000.0
T1112_257313a3c93e3bb7dfb60d6753b09e34,1.0,0.9979166666666667,0.9989572471324296,2400.0
T1112_34041639e6e501856ecaf5969ee29c76,1.0,1.0,1.0,2400.0
T1112_35c0360d226cf38104f300d9d57ce60e,1.0,1.0,1.0,2400.0
T1112_4bfb5f265a5ce07af6bf10da113af7db,1.0,0.9991666666666666,0.9995831596498541,2400.0
T1112_7fe6a66d03f4dbfc022609ba311c2b11,1.0,1.0,1.0,2400.0
T1112_ba6f6214dbd17c54001e0a163b60f151,1.0,0.9975,0.9987484355444306,2400.0
T1112_cab7b85611a290c0769546bfa9d6f962,1.0,1.0,1.0,2400.0
T1112_cd8be0e6b873919da25530a2c7ea6750,1.0,1.0,1.0,1600.0
T1112_e74d2fb4ef5fa6c766a4151554033697,1.0,1.0,1.0,2400.0
T1112_e7a987cbef27263e666e5b096488dc55,1.0,1.0,1.0,14400.0
T1112_fa4ba6a06b4a5cd955ea5a60fae24281,1.0,0.99875,0.9993746091307067,2400.0
T1112_fd992e8ecfdac9b56dd6868904044827,1.0,1.0,1.0,2400.0
T1113_316251ed-6a28-4013-812b-ddf5b5b007f8,1.0,1.0,1.0,4000.0
T1115_70795de7cbb842edb029b3378c27c008,1.0,1.0,1.0,12800.0
T1115_b007fe0c-c6b0-4fda-915c-255bbc070de2,0.9448755804310114,0.92125,0.9329132375657389,256000.0
T1119_344e7eaf650763e0d3e9f02e62c1cf4b,1.0,0.9999342105263158,0.9999671041810586,15200.0
T1119_7121cdf93b951311be9d7078c602efdc,1.0,1.0,1.0,16000.0
T1120_7b9c7afaefa59aab759b49af0d699ac1,1.0,1.0,1.0,4800.0
T1123_372e6f46fca18e4f1b43209c20ffafa2,1.0,0.9997916666666666,0.9998958224815084,4800.0
T1124_fa6e8607-e0b1-425d-8924-9b894da5a002,0.8694003917356417,0.9675,0.9158306926043566,256000.0
T1125_da86001b5081fcf773d8e62f22cf2b00,1.0,1.0,1.0,4800.0
T1135_530e47c6-8592-42bf-91df-c59ffbd8541b,0.9103276187326664,0.94625,0.9279412835039896,256000.0
T1135_deeac480-5c2a-42b5-90bb-41675ee53c7e,0.9624551401355416,0.9575,0.9599711758002043,256000.0
T1137.002_e2af3c3ab1b0f659c874b8af58c49759,1.0,0.9995833333333334,0.9997916232548448,4800.0
T1137_12ad9edefc86af07700fbf49bfdac6ba,1.0,1.0,1.0,10400.0
T1201_38f6f0e50a6b196140ec40d3dc9cc9e6,0.979947982213273,0.9125,0.9450220478174683,256000.0
T1201_57296a2ddbeb7423c05feef2fe972111,0.9857167674388058,0.90875,0.9456699138840391,256000.0
T1204.002_522f3f35cd013e63830fa555495a0081,1.0,1.0,1.0,8000.0
T1217_69bbe2183fa09c00ccaac62d48e214f8,1.0,1.0,1.0,3200.0
T1217_f7a0f7d704aa52a764d9d1bee81e65d6,0.9425248814985292,0.96625,0.9542399950621475,256000.0
T1219_7dabcbecab0334b115feefab1630f84a,1.0,1.0,1.0,53600.0
T1219_af8cb2bf9b436aae5c106a0a9c207e14,0.9999879732525135,0.9993629807692308,0.9996753793252698,83200.0
T1219_f1b3fca18d7465cd10e5a7477a3bf97d,1.0,1.0,1.0,40000.0
T1482_6131397e-7765-424e-a594-3d7fb2d93a6a,1.0,1.0,1.0,4000.0
T1482_cfb61005899996469ae3023796792ca5,0.9692330200355079,0.9575,0.9633307853590384,256000.0
T1486_d82ceb9939d3d920ee550187ad8235c8,1.0,1.0,1.0,3200.0
T1490_2d53d6fabd39bf9c70b0dfcdfbbc926d,0.9724136520725547,0.92875,0.9500804187770352,256000.0
T1490_8467c994685ccf178db166964bd80fab,0.0,0.0,0.0,1600.0
T1490_9e5e4c0655fd1b5be88bd40b8251175f,0.9805629035703136,0.9325,0.9559276967556442,256000.0
T1490_c156ac5c9fa67080365268d95f29053d,0.9420295283110734,0.9825,0.9618392422150754,256000.0
T1490_c8f329d2847ede593b6cb4a1ec6120fb,1.0,0.999625,0.9998124648371569,8000.0
T1490_e90756bb6dcd21462dc4cc452661df91,0.9555863525374513,0.905,0.9296054954579014,256000.0
T1491_47d08617-5ce1-424a-8cc5-c9c978ce6bf9,1.0,1.0,1.0,4000.0
T1491_68235976-2404-42a8-9105-68230cfef562,1.0,1.0,1.0,5600.0
T1496_46da2385-cf37-49cb-ba4b-a739c7a19de4,1.0,1.0,1.0,65600.0
T1497.001_1258b063-27d6-489b-a677-4807faacf868,0.9565083448858692,0.8975,0.9260651300767624,256000.0
T1497.001_5dc841fd-28ad-40e2-b10e-fb007fe09e81,0.9315218643145634,0.91625,0.9238228210546217,256000.0
T1497.001_7a6ba833-de40-466a-8969-5c37b13603e0,0.9451558738443487,0.9125,0.9285409068776024,256000.0
T1499_2fe2d5e6-7b06-4fc0-bf71-6966a1226731,0.9737301239488328,0.92,0.9461028292298855,256000.0
T1518.001_2dece965-37a0-4f70-a391-0f30e3331aba,0.966188865205233,0.965,0.9655940666621066,256000.0
T1518.001_33a24ff44719e6ac0614b58f8c9a7c72,0.0,0.0,0.0,1600.0
T1518.001_b8453a5fe06b24aea12b27592d5c3d3a,0.9252106067470953,0.94125,0.9331613862651471,256000.0
T1518_8ddfaf982ab359cda13626b870ccb339,1.0,0.995,0.9974937343358395,1600.0
T1518_c9be8043-a445-4cbf-b77b-ed7bb007fc7c,0.9913258983890955,1.0,0.9956440572495334,800.0
T1531_aa6b15485a5f50ced34d87fda177b758,0.3333333333333333,0.001875,0.003729024238657551,1600.0
T1531_b25ae80dad74142fafb510e9c1949ace,0.42857142857142855,0.001875,0.0037336652146857494,1600.0
T1546.013_f9a968af61d36983448c74cca5464e17,1.0,0.9991666666666666,0.9995831596498541,12000.0
T1547.001_0dbdf1a2a87e718a6ac8a8e3415a7fac,0.9996429209069809,0.9998214285714285,0.999732166770824,5600.0
T1547.001_163b023f43aba758d36f524d146cb8ea,1.0,0.99925,0.9996248593222459,4000.0
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3,1.0,0.999375,0.9996874023132228,4800.0
T1547.001_4b71ebb2f6f6a01235ba240fa40ce978,1.0,1.0,1.0,1600.0
T1547.001_777043894e42d2aae3881e63f6c76d33,1.0,1.0,1.0,1600.0
T1547.001_d3ef4145e4144fd694514b1c5cc17350,1.0,0.9995,0.9997499374843711,4000.0
T1547.004_0856714c9810ac55b53e9964d02958a0,1.0,1.0,1.0,1600.0
T1547.004_aa147165f6c116cb0b0f944abe1db8ce,1.0,1.0,1.0,1600.0
T1547.009_501af516bd8b24fee0c7c650ae5cc861,1.0,1.0,1.0,8000.0
T1547.009_b6e5c895c6709fe289352ee23f062229,1.0,1.0,1.0,6400.0
T1547.010_4593d72a5145e3f494421ac772d37464,1.0,0.9997916666666666,0.9998958224815084,4800.0
T1547_fe9eeee9a7b339089e5fa634b08522c1,1.0,0.9998863636363636,0.9999431785896925,17600.0
T1548.002_665432a4-42e7-4ee1-af19-a9a8c9455d0c,1.0,1.0,1.0,1600.0
T1552.002_3e5b04b8ee0a1a4950da8f35d95e65fc,0.0,0.0,0.0,1600.0
T1560_a1ee301b0508747b468d578a14e5c1a5,1.0,1.0,1.0,172800.0
T1562.001_43e3334362b140924f001b256b229ee5,1.0,1.0,1.0,1600.0
T1562.002_6a8d25d65a7d481dc479f89c62af1e6a,1.0,0.98125,0.9905362776025236,4800.0
T1562.002_94f51bf01a7036fe02d07b4c18967669,0.8965998491025855,0.98875,0.9404229153779136,256000.0
T1562.004_280003641a5cddf916c4f2bf605a71d3,0.7142857142857143,0.003125,0.006222775357809583,1600.0
T1562.004_41627f71f968225b9f162cb76d16bd9d,1.0,1.0,1.0,8800.0
T1562.004_5b93df032e230056c21a3e57334f77d1,0.976527665284016,0.9325,0.9540061303845678,256000.0
T1562.004_8d0a4585e7c4646185a912b14cd9cb46,0.9022372050260496,0.9775,0.9383618790486636,256000.0
T1562.004_8fe59e288f10a486dc8b44bc872019ff,1.0,0.9991666666666666,0.9995831596498541,2400.0
T1564.001_66a5fd5f244819181f074dd082a28905,0.5112359550561798,0.0455,0.08356290174471993,4000.0
T1564.001_dce51e632abdfe5392c7c1f942ac9273,0.5007318695941451,0.94075,0.6535822839774207,4000.0
T1564.003_9a2edad4053a2b59fb9167a9bc29e7dc,0.5491891891891892,0.3175,0.40237623762376235,1600.0
T1564.004_28862487a99f5f89bc0d68c87396c7e9,1.0,1.0,1.0,4800.0
T1564.004_76b6066fe170d38215251102e42be973,1.0,1.0,1.0,12800.0
T1564_dedfa0a54c9c13ce5714a0dc2e1f5d1a,0.971178544814178,0.91125,0.9402603369991717,256000.0
T1566.001_1afaec09315ab71fdfb167175e8a019a,1.0,1.0,1.0,6400.0
T1574.001_63bbedafba2f541552ac3579e9e3737b,1.0,1.0,1.0,49600.0
T1574.011_72249c1e9ffe7d8f30243d838e0791ca,1.0,1.0,1.0,4800.0
benign,1.0,1.0,1.0,1077033.0
accuracy,0.952706897756923,0.952706897756923,0.952706897756923,0.952706897756923
macro avg,0.9102331456647023,0.8893913141748133,0.8893122687808644,16008233.0
weighted avg,0.9526378264184512,0.952706897756923,0.9520029878684599,16008233.0
