label,precision,recall,f1-score,support
T1105_0856c235a1d26113d4f2d92e39c9a9f8_B,0.0,0.0,0.0,1.0
T1105_0856c235a1d26113d4f2d92e39c9a9f8_I,0.0,0.0,0.0,6.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1135_deeac480-5c2a-42b5-90bb-41675ee53c7e_B,0.0,0.0,0.0,1.0
T1120_7b9c7afaefa59aab759b49af0d699ac1_I,0.0,0.0,0.0,6.0
T1499_2fe2d5e6-7b06-4fc0-bf71-6966a1226731_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1120_7b9c7afaefa59aab759b49af0d699ac1_B,0.0,0.0,0.0,1.0
T1003.003_f049b89533298c2d6cd37a940248b219_B,0.0,0.0,0.0,1.0
T1562.004_280003641a5cddf916c4f2bf605a71d3_B,0.0,0.0,0.0,1.0
T1552.002_3e5b04b8ee0a1a4950da8f35d95e65fc_B,0.0,0.0,0.0,1.0
O,1.0,0.00031300254297177133,0.0006258092060706274,718844.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.4707112970711297,0.00031298991616043447,0.0006255638763274118,718873.0
macro avg,0.07692307692307693,2.4077118690136255e-05,4.813916969774057e-05,718873.0
weighted avg,0.9999596590774726,0.00031298991616043447,0.0006257839603499285,718873.0
