label,precision,recall,f1-score,support
T1496_46da2385-cf37-49cb-ba4b-a739c7a19de4_B,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1003.001_35d92515122effdd73801c6ac3021da7_I,0.0,0.0,0.0,5.0
T1105_c76968acda4aa1673dadcd67f3ab7664_B,0.0,0.0,0.0,1.0
T1003.001_35d92515122effdd73801c6ac3021da7_B,0.0,0.0,0.0,1.0
T1217_69bbe2183fa09c00ccaac62d48e214f8_I,0.0,0.0,0.0,4.0
T1496_46da2385-cf37-49cb-ba4b-a739c7a19de4_I,0.0,0.0,0.0,89.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1137_12ad9edefc86af07700fbf49bfdac6ba_I,0.0,0.0,0.0,12.0
T1057_f8de05d1741dcc468f772ab0ff4dac72_B,0.0,0.0,0.0,1.0
T1547.001_0dbdf1a2a87e718a6ac8a8e3415a7fac_I,0.0,0.0,0.0,6.0
T1105_c76968acda4aa1673dadcd67f3ab7664_I,0.0,0.0,0.0,17.0
T1137_12ad9edefc86af07700fbf49bfdac6ba_B,0.0,0.0,0.0,1.0
T1217_69bbe2183fa09c00ccaac62d48e214f8_B,0.0,0.0,0.0,1.0
T1547.001_0dbdf1a2a87e718a6ac8a8e3415a7fac_B,0.0,0.0,0.0,1.0
O,1.0,0.0002195777219026625,0.0004390590362223705,232264.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.12056737588652482,0.00021943600643678951,0.00043807470462168814,232414.0
macro avg,0.058823529411764705,1.291633658250956e-05,2.5827002130727674e-05,232414.0
weighted avg,0.9993545999810682,0.00021943600643678951,0.0004387756675120804,232414.0
