label,precision,recall,f1-score,support
T1059.001_702bfdd2-9947-4eda-b551-c3a1ea9a59a2_B,0.0,0.0,0.0,1.0
T1078.001_d0ca00832890baa1d42322cf70fcab1a_B,0.0,0.0,0.0,1.0
T1125_da86001b5081fcf773d8e62f22cf2b00_I,0.0,0.0,0.0,6.0
T1059.001_702bfdd2-9947-4eda-b551-c3a1ea9a59a2_I,0.0,0.0,0.0,4.0
T1003.002_7fa4ea18694f2552547b65e23952cabb_I,0.0,0.0,0.0,4.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1105_eb814e03-811a-467a-bc6d-dcd453750fa2_I,0.0,0.0,0.0,153.0
T1547.001_163b023f43aba758d36f524d146cb8ea_I,0.0,0.0,0.0,4.0
T1562.004_41627f71f968225b9f162cb76d16bd9d_B,0.0,0.0,0.0,1.0
T1490_e90756bb6dcd21462dc4cc452661df91_B,0.0,0.0,0.0,1.0
T1562.004_41627f71f968225b9f162cb76d16bd9d_I,0.0,0.0,0.0,10.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1003.002_7fa4ea18694f2552547b65e23952cabb_B,0.0,0.0,0.0,1.0
T1125_da86001b5081fcf773d8e62f22cf2b00_B,0.0,0.0,0.0,1.0
O,1.0,0.0006638945329112129,0.0013269081387634256,423260.0
T1105_eb814e03-811a-467a-bc6d-dcd453750fa2_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
T1547.001_163b023f43aba758d36f524d146cb8ea_B,0.0,0.0,0.0,1.0
micro avg,0.051427525622254756,0.0006635825428199661,0.0013102584846231141,423459.0
macro avg,0.05555555555555555,3.68830296061785e-05,7.371711882019031e-05,423459.0
weighted avg,0.9995300607614905,0.0006635825428199661,0.001326284572563123,423459.0
