label,precision,recall,f1-score,support
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1057_b2a1e430ca6d36eb5af2fe666e769847_B,0.0,0.0,0.0,1.0
T1490_c8f329d2847ede593b6cb4a1ec6120fb_I,0.0,0.0,0.0,4.0
T1059.001_e5f9de8f-3df1-4e78-ad92-a784e3f6770d_I,0.0,0.0,0.0,164.0
T1105_1095434782a00c8a4772a11e625bcf5d_I,0.0,0.0,0.0,3.0
T1482_cfb61005899996469ae3023796792ca5_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1003.003_f049b89533298c2d6cd37a940248b219_B,0.0,0.0,0.0,1.0
T1548.002_665432a4-42e7-4ee1-af19-a9a8c9455d0c_B,0.0,0.0,0.0,1.0
T1490_c8f329d2847ede593b6cb4a1ec6120fb_B,0.0,0.0,0.0,1.0
T1112_fa4ba6a06b4a5cd955ea5a60fae24281_I,0.0,0.0,0.0,2.0
T1548.002_665432a4-42e7-4ee1-af19-a9a8c9455d0c_I,0.0,0.0,0.0,3.0
O,1.0,0.00020601514583638427,0.00041194542467602724,402883.0
T1105_1095434782a00c8a4772a11e625bcf5d_B,0.0,0.0,0.0,1.0
T1112_fa4ba6a06b4a5cd955ea5a60fae24281_B,0.0,0.0,0.0,1.0
T1059.001_e5f9de8f-3df1-4e78-ad92-a784e3f6770d_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.9764705882352941,0.00020591599123740624,0.0004117451545532565,403077.0
macro avg,0.058823529411764705,1.2118537990375546e-05,2.423208380447219e-05,403077.0
weighted avg,0.999518702381927,0.00020591599123740624,0.0004117471563243546,403077.0
