label,precision,recall,f1-score,support
T1105_0856c235a1d26113d4f2d92e39c9a9f8_B,0.0,0.0,0.0,1.0
T1105_0856c235a1d26113d4f2d92e39c9a9f8_I,0.0,0.0,0.0,6.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1003.001_35d92515122effdd73801c6ac3021da7_I,0.0,0.0,0.0,5.0
T1003.001_35d92515122effdd73801c6ac3021da7_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1490_9e5e4c0655fd1b5be88bd40b8251175f_B,0.0,0.0,0.0,1.0
O,1.0,9.19839699287e-05,0.00018395101931237122,402244.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.19170984455958548,9.19784820070202e-05,0.00018386874753081666,402268.0
macro avg,0.1111111111111111,1.0220441103188888e-05,2.0439002145819023e-05,402268.0
weighted avg,0.9999403382819414,9.19784820070202e-05,0.0001839400444785204,402268.0
