label,precision,recall,f1-score,support
T1003.001_0ef4cc7b-611c-4237-b20b-db36b6906554_B,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1105_1095434782a00c8a4772a11e625bcf5d_I,0.0,0.0,0.0,3.0
T1047_ed736a123da6fb2aab22cfd4f437e8b5_B,0.0,0.0,0.0,1.0
T1003.002_5a484b65c247675e3b7ada4ba648d376_B,0.0,0.0,0.0,1.0
T1547.009_501af516bd8b24fee0c7c650ae5cc861_I,0.0,0.0,0.0,9.0
T1003.001_0ef4cc7b-611c-4237-b20b-db36b6906554_I,0.0,0.0,0.0,72.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1547.009_501af516bd8b24fee0c7c650ae5cc861_B,0.0,0.0,0.0,1.0
T1490_9e5e4c0655fd1b5be88bd40b8251175f_B,0.0,0.0,0.0,1.0
T1003.002_5a484b65c247675e3b7ada4ba648d376_I,0.0,0.0,0.0,5.0
T1087.001_6334877e8e3ba48f7835d4856d90a282_B,0.0,0.0,0.0,1.0
T1547.001_d3ef4145e4144fd694514b1c5cc17350_I,0.0,0.0,0.0,4.0
T1547.001_d3ef4145e4144fd694514b1c5cc17350_B,0.0,0.0,0.0,1.0
O,1.0,0.00025009795503238766,0.0005000708433694774,359859.0
T1105_1095434782a00c8a4772a11e625bcf5d_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.5,0.00025002083506958916,0.0004997917534360683,359970.0
macro avg,0.058823529411764705,1.4711644413669862e-05,2.9415931962910435e-05,359970.0
weighted avg,0.9996916409700808,0.0002500208350695891,0.000499916642009325,359970.0
