label,precision,recall,f1-score,support
T1078.001_d0ca00832890baa1d42322cf70fcab1a_B,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1490_c8f329d2847ede593b6cb4a1ec6120fb_I,0.0,0.0,0.0,6.0
T1105_1095434782a00c8a4772a11e625bcf5d_I,0.0,0.0,0.0,3.0
T1547.004_aa147165f6c116cb0b0f944abe1db8ce_I,0.0,0.0,0.0,3.0
T1003.002_5a484b65c247675e3b7ada4ba648d376_B,0.0,0.0,0.0,1.0
T1518.001_b8453a5fe06b24aea12b27592d5c3d3a_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1069.001_a1f48fa3ddee658b29b414523c9a295b_B,0.0,0.0,0.0,1.0
T1490_c8f329d2847ede593b6cb4a1ec6120fb_B,0.0,0.0,0.0,1.0
T1003.002_5a484b65c247675e3b7ada4ba648d376_I,0.0,0.0,0.0,5.0
T1055.001_a74bc239-a196-4f7e-8d5c-fe8c0266071c_B,0.0,0.0,0.0,1.0
T1547.004_aa147165f6c116cb0b0f944abe1db8ce_B,0.0,0.0,0.0,1.0
O,1.0,0.00020417922637565753,0.00040827509145899255,558333.0
T1105_1095434782a00c8a4772a11e625bcf5d_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.5846153846153846,0.00020416642787552295,0.0004081903026158195,558368.0
macro avg,0.0625,1.2761201648478596e-05,2.5517193216187034e-05,558368.0
weighted avg,0.9999373173247751,0.00020416642787552295,0.0004082494996840322,558368.0
