label,precision,recall,f1-score,support
T1040_6881a4589710d53f0c146e91db513f01_B,0.0,0.0,0.0,1.0
T1518_8ddfaf982ab359cda13626b870ccb339_I,0.0,0.0,0.0,2.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1040_6881a4589710d53f0c146e91db513f01_I,0.0,0.0,0.0,5.0
T1105_eb814e03-811a-467a-bc6d-dcd453750fa2_I,0.0,0.0,0.0,153.0
T1518_8ddfaf982ab359cda13626b870ccb339_B,0.0,0.0,0.0,1.0
T1033_c0da588f-79f0-4263-8998-7496b1a40596_B,0.0,0.0,0.0,1.0
T1112_ba6f6214dbd17c54001e0a163b60f151_I,0.0,0.0,0.0,2.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1112_ba6f6214dbd17c54001e0a163b60f151_B,0.0,0.0,0.0,1.0
T1548.002_665432a4-42e7-4ee1-af19-a9a8c9455d0c_B,0.0,0.0,0.0,1.0
T1490_9e5e4c0655fd1b5be88bd40b8251175f_B,0.0,0.0,0.0,1.0
T1548.002_665432a4-42e7-4ee1-af19-a9a8c9455d0c_I,0.0,0.0,0.0,3.0
O,1.0,0.00029570076796489304,0.0005912267097376752,233344.0
T1105_eb814e03-811a-467a-bc6d-dcd453750fa2_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.3108108108108108,0.0002954703116569461,0.0005903793829252015,233526.0
macro avg,0.0625,1.8481297997805815e-05,3.69516693586047e-05,233526.0
weighted avg,0.9992206435257744,0.0002954703116569461,0.0005907659333737061,233526.0
