label,precision,recall,f1-score,support
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1105_1095434782a00c8a4772a11e625bcf5d_I,0.0,0.0,0.0,3.0
T1112_e7a987cbef27263e666e5b096488dc55_I,0.0,0.0,0.0,2.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1112_e7a987cbef27263e666e5b096488dc55_B,0.0,0.0,0.0,1.0
T1112_cab7b85611a290c0769546bfa9d6f962_B,0.0,0.0,0.0,1.0
T1112_cab7b85611a290c0769546bfa9d6f962_I,0.0,0.0,0.0,2.0
T1490_9e5e4c0655fd1b5be88bd40b8251175f_B,0.0,0.0,0.0,1.0
T1087.001_6334877e8e3ba48f7835d4856d90a282_B,0.0,0.0,0.0,1.0
O,1.0,0.00019378820710674207,0.0003875013210272308,1305549.0
T1105_1095434782a00c8a4772a11e625bcf5d_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.9768339768339769,0.0001937849416079248,0.0003874930121072421,1305571.0
macro avg,0.08333333333333333,1.6149017258895174e-05,3.2291776752269235e-05,1305571.0
weighted avg,0.9999831491355123,0.0001937849416079248,0.00038749479129498136,1305571.0
