label,precision,recall,f1-score,support
T1078.001_d0ca00832890baa1d42322cf70fcab1a_B,0.0,0.0,0.0,1.0
T1047_f4b0b4129560ea66f9751275e82f6bab_B,0.0,0.0,0.0,1.0
T1137.002_e2af3c3ab1b0f659c874b8af58c49759_B,0.0,0.0,0.0,1.0
T1003.001_0ef4cc7b-611c-4237-b20b-db36b6906554_B,0.0,0.0,0.0,1.0
T1047_f4b0b4129560ea66f9751275e82f6bab_I,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1201_38f6f0e50a6b196140ec40d3dc9cc9e6_B,0.0,0.0,0.0,1.0
T1137.002_e2af3c3ab1b0f659c874b8af58c49759_I,0.0,0.0,0.0,5.0
T1490_c156ac5c9fa67080365268d95f29053d_B,0.0,0.0,0.0,1.0
T1217_69bbe2183fa09c00ccaac62d48e214f8_I,0.0,0.0,0.0,4.0
T1003.001_0ef4cc7b-611c-4237-b20b-db36b6906554_I,0.0,0.0,0.0,72.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1217_69bbe2183fa09c00ccaac62d48e214f8_B,0.0,0.0,0.0,1.0
T1562.002_94f51bf01a7036fe02d07b4c18967669_I,0.0,0.0,0.0,1.0
O,0.9951219512195122,8.687368438534952e-05,0.0001737322020301119,2348237.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.9951219512195122,8.686998501492759e-05,0.00017372480458088466,2348337.0
macro avg,0.06219512195121951,5.429605274084345e-06,1.0858262626881993e-05,2348337.0
weighted avg,0.995079575617066,8.686998501492759e-05,0.00017372480393511826,2348337.0
