label,precision,recall,f1-score,support
T1036.003_f5ef8466e5ebcd2ae03f338d9416069c_B,1.0,1.0,1.0,24.0
T1074.001_4e97e699-93d7-4040-b5a3-2e906a58199e_I,0.9827586206896551,0.48717948717948717,0.6514285714285715,234.0
T1005_720a3356-eee1-4015-9135-0fc08f7eb2d5_I,0.9913949598484308,0.9863905605464283,0.9888864288707726,253574.0
T1518_8ddfaf982ab359cda13626b870ccb339_B,1.0,1.0,1.0,21.0
T1219_f1b3fca18d7465cd10e5a7477a3bf97d_I,0.8992007104795737,0.8792878853669127,0.889132821075741,2303.0
T1547.004_aa147165f6c116cb0b0f944abe1db8ce_I,1.0,1.0,1.0,69.0
T1105_e6715e61f5df646692c624b3499384c4_B,1.0,0.8823529411764706,0.9375,17.0
T1564.001_dce51e632abdfe5392c7c1f942ac9273_B,1.0,1.0,1.0,22.0
T1486_d82ceb9939d3d920ee550187ad8235c8_I,0.23529411764705882,0.05,0.08247422680412371,80.0
T1046_5a4cb2be-2684-4801-9355-3a90c91e0004_I,0.9994822527757004,1.0,0.9997410593549501,17374.0
T1037.001_62cfa90fb03a6bc1a6ebcce8a3ea81b7_I,1.0,0.8928571428571429,0.9433962264150944,28.0
T1112_257313a3c93e3bb7dfb60d6753b09e34_B,0.95,0.8260869565217391,0.8837209302325582,23.0
T1490_c8f329d2847ede593b6cb4a1ec6120fb_I,1.0,0.7843137254901961,0.8791208791208791,102.0
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3_B,0.2,0.05263157894736842,0.08333333333333333,19.0
T1059.003_f38e58deb7ad20b5538ca40db7b7b4f8_B,0.7692307692307693,0.5882352941176471,0.6666666666666666,17.0
T1547.001_777043894e42d2aae3881e63f6c76d33_I,0.5217391304347826,0.19047619047619047,0.27906976744186046,63.0
T1082_29451844-9b76-4e16-a9ee-d6feab4b24db_B,1.0,1.0,1.0,16.0
T1490_9e5e4c0655fd1b5be88bd40b8251175f_B,1.0,1.0,1.0,16.0
T1547.001_d3ef4145e4144fd694514b1c5cc17350_I,1.0,1.0,1.0,80.0
T1105_0856c235a1d26113d4f2d92e39c9a9f8_B,0.75,0.9,0.8181818181818182,20.0
T1105_60f63260-39bb-4136-87a0-b6c2dca799fc_I,0.7788944723618091,0.7635467980295566,0.7711442786069652,406.0
T1119_7121cdf93b951311be9d7078c602efdc_I,0.94579945799458,0.8349282296650717,0.8869123252858958,418.0
T1105_1095434782a00c8a4772a11e625bcf5d_I,0.9787234042553191,0.8518518518518519,0.9108910891089109,54.0
T1201_38f6f0e50a6b196140ec40d3dc9cc9e6_B,1.0,1.0,1.0,24.0
T1564_dedfa0a54c9c13ce5714a0dc2e1f5d1a_B,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
T1112_4bfb5f265a5ce07af6bf10da113af7db_B,0.6956521739130435,0.8888888888888888,0.7804878048780488,18.0
T1547.001_4b71ebb2f6f6a01235ba240fa40ce978_I,1.0,1.0,1.0,63.0
T1562.004_41627f71f968225b9f162cb76d16bd9d_I,0.42953020134228187,0.35555555555555557,0.3890577507598784,180.0
T1518_8ddfaf982ab359cda13626b870ccb339_I,0.5,0.19047619047619047,0.27586206896551724,42.0
T1112_fd992e8ecfdac9b56dd6868904044827_B,0.6818181818181818,0.8823529411764706,0.7692307692307693,17.0
T1518.001_33a24ff44719e6ac0614b58f8c9a7c72_B,0.8636363636363636,1.0,0.926829268292683,19.0
T1547.001_0dbdf1a2a87e718a6ac8a8e3415a7fac_I,1.0,0.8888888888888888,0.9411764705882353,126.0
T1059.001_55678719-e76e-4df9-92aa-10655bbd1cf4_I,0.3333333333333333,0.05714285714285714,0.0975609756097561,105.0
T1547.010_4593d72a5145e3f494421ac772d37464_B,1.0,1.0,1.0,17.0
T1069.002_6103e503cb444bc7b4187704f2035708_B,0.9230769230769231,0.6666666666666666,0.7741935483870968,18.0
T1125_da86001b5081fcf773d8e62f22cf2b00_B,0.8333333333333334,0.6521739130434783,0.7317073170731707,23.0
T1120_7b9c7afaefa59aab759b49af0d699ac1_I,0.7361111111111112,0.36551724137931035,0.48847926267281105,145.0
T1069.001_5c4dd985-89e3-4590-9b57-71fed66ff4e2_I,0.16666666666666666,0.08333333333333333,0.1111111111111111,84.0
T1055.002_e5bcefee-262d-4568-a261-e8a20855ec81_B,0.875,0.6363636363636364,0.7368421052631579,22.0
