label,precision,recall,f1-score,support
T1496_46da2385-cf37-49cb-ba4b-a739c7a19de4_B,0.0,0.0,0.0,1.0
T1059.001_6efbccc1869e8cd618c0d3ecda407d5f_I,0.0,0.0,0.0,16.0
T1059.001_6efbccc1869e8cd618c0d3ecda407d5f_B,0.0,0.0,0.0,1.0
T1003.002_7fa4ea18694f2552547b65e23952cabb_I,0.0,0.0,0.0,4.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1547.001_777043894e42d2aae3881e63f6c76d33_I,0.0,0.0,0.0,3.0
T1033_c0da588f-79f0-4263-8998-7496b1a40596_B,0.0,0.0,0.0,1.0
T1496_46da2385-cf37-49cb-ba4b-a739c7a19de4_I,0.0,0.0,0.0,89.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1003.003_f049b89533298c2d6cd37a940248b219_B,0.0,0.0,0.0,1.0
T1547.001_777043894e42d2aae3881e63f6c76d33_B,0.0,0.0,0.0,1.0
T1003.002_7fa4ea18694f2552547b65e23952cabb_B,0.0,0.0,0.0,1.0
O,1.0,0.00027069798434116275,0.0005412494535462248,96048.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.035961272475795295,0.00027033771419065046,0.0005366412450076884,96176.0
macro avg,0.07142857142857142,1.9335570310083054e-05,3.866067525330177e-05,96176.0
weighted avg,0.9986691066378306,0.00027033771419065046,0.0005405291082412224,96176.0
