label,precision,recall,f1-score,support
T1574.001_63bbedafba2f541552ac3579e9e3737b_B,0.0,0.0,0.0,1.0
T1105_4f683658f161ccdc51337c470d32bab9_B,0.0,0.0,0.0,1.0
T1003.002_7fa4ea18694f2552547b65e23952cabb_I,0.0,0.0,0.0,4.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1083_52177cc1-b9ab-4411-ac21-2eadc4b5d3b8_B,0.0,0.0,0.0,1.0
T1003_18f31c311ac208802e88ab8d5af8603e_I,0.0,0.0,0.0,6.0
T1016_a0676fe1-cd52-482e-8dde-349b73f9aa69_B,0.0,0.0,0.0,1.0
T1490_e90756bb6dcd21462dc4cc452661df91_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1574.001_63bbedafba2f541552ac3579e9e3737b_I,0.0,0.0,0.0,63.0
T1083_52177cc1-b9ab-4411-ac21-2eadc4b5d3b8_I,0.0,0.0,0.0,20.0
T1105_4f683658f161ccdc51337c470d32bab9_I,0.0,0.0,0.0,9.0
T1112_fd992e8ecfdac9b56dd6868904044827_I,0.0,0.0,0.0,2.0
T1003.002_7fa4ea18694f2552547b65e23952cabb_B,0.0,0.0,0.0,1.0
T1112_fd992e8ecfdac9b56dd6868904044827_B,0.0,0.0,0.0,1.0
T1003_18f31c311ac208802e88ab8d5af8603e_B,0.0,0.0,0.0,1.0
O,1.0,0.0005102336638255928,0.0010199469163991238,86235.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.0026267088532027937,0.0005095128362495224,0.0008534740272335803,86357.0
macro avg,0.05555555555555555,2.834631465697738e-05,5.66637175777291e-05,86357.0
weighted avg,0.9985872598631264,0.0005095128362495224,0.0010185059964528463,86357.0
